selection_rank	sequence_id	length	domain_status	domain_score	domain_evalue	model_coverage	domain_pass	constraint_score	conserved_sites_total	conserved_sites_covered	conserved_sites_matched	conservation_coverage	conservation_score	closest_reference_id	closest_reference_pident	closest_reference_effective_identity	closest_reference_query_coverage	closest_reference_target_coverage	closest_reference_evalue	novelty_score	uniqueness_score	nearest_candidate_id	nearest_candidate_identity	nearest_candidate_distance	sequence_evalue	sequence_score	hmm_from	hmm_to	alignment_from	alignment_to	pareto_rank	crowding_distance
1	gen_101	71	detected	59.3	3.1e-18	1	True	0.8971291866	23	23	22	1	0.9565217391	ref_000861	0.90141	0.90141	1	1	4.32e-42	0.09859	0.930038423	gen_161	0.7887338028	0.2112661972	2.3e-18	59.8	1	39	11	49	0	inf
2	gen_167	512	not_detected	0	1000	0	False	0	23	19	4	0.8260869565	0.1739130435	ref_000078	0.33333	0.03906210937	0.1171875	0.6896551724	754	0.9609378906	0.9812441051	gen_2	0.08984396484	0.9101560352							0	inf
3	gen_194	99	detected	56.8	2e-17	1	True	0.7105263158	23	23	23	1	1	ref_000329	0.76289	0.7474780808	0.9797979798	1.010416667	1.31e-44	0.2525219192	0.9367923096	gen_142	0.6565687879	0.3434312121	1.3e-17	57.3	1	39	10	48	0	inf
4	gen_2	345	not_detected	0	1000	0	False	0	23	18	5	0.7826086957	0.2173913043	ref_000683	0.23214	0.03768069565	0.1623188406	0.7567567568	573	0.9623193043	0.9625591708	gen_105	0.8058	0.1942							0	inf
5	gen_55	94	not_detected	0	1000	0	False	0	23	23	11	1	0.4782608696	ref_000170	0.31707	0.2765929787	0.8723404255	0.9425287356	474	0.7234070213	0.9880429692	gen_195	0.1382985106	0.8617014894							0	inf
6	gen_95	104	detected	62.1	4.4e-19	0.9743589744	True	0.9928229665	23	21	12	0.9130434783	0.5217391304	ref_000436	0.43333	0.3749971154	0.8653846154	1.046511628	7.01e-13	0.6250028846	0.8179157361	gen_51	0.4038461538	0.5961538462	3e-19	62.6	1	38	11	48	0	inf
7	gen_123	120	detected	50.5	1.8e-15	1	True	0.3301435407	23	23	23	1	1	ref_001104	0.64545	0.5819631148	0.9166666667	0.9016393443	9.62e-37	0.4180368852	0.9196361305	gen_97	0.4632352941	0.5367647059	1.2e-15	51.1	1	39	18	56	0	1.012568382
8	gen_199	120	detected	59.3	3.2e-18	1	True	0.8971291866	23	21	13	0.9130434783	0.5652173913	ref_000864	0.73418	0.4833351667	0.6583333333	0.7117117117	6.21e-36	0.5166648333	0.9448730583	gen_56	0.4500026667	0.5499973333	2.4e-18	59.7	1	39	20	58	0	0.5176976082
9	gen_39	71	detected	55.6	4.6e-17	1	True	0.6220095694	23	23	20	1	0.8695652174	ref_000626	0.74242	0.6805516667	0.9295774648	0.9166666667	7.37e-30	0.3194483333	0.9332887464	gen_101	0.6338049296	0.3661950704	3.7e-17	55.9	1	39	11	49	0	0.5132208146
10	gen_115	127	detected	45.5	6.6e-14	0.9743589744	True	0.1818181818	23	23	18	1	0.7826086957	ref_001050	0.62651	0.4094514173	0.6535433071	0.7685185185	1.79e-26	0.5905485827	0.9551945312	gen_123	0.3464567717	0.6535432283	4.7e-14	46	2	39	12	49	0	0.5063567474
11	gen_71	84	detected	53.4	2.2e-16	1	True	0.4593301435	23	21	9	0.9130434783	0.3913043478	ref_001221	0.48936	0.2738085714	0.5595238095	0.5662650602	2.17e-12	0.7261914286	0.9368854418	gen_139	0.4725237363	0.5274762637	1.8e-16	53.7	1	39	29	67	0	0.3374209934
12	gen_113	301	not_detected	0	1000	0	False	0	23	21	8	0.9130434783	0.347826087	ref_000268	0.25743	0.08638016611	0.3355481728	1.02020202	202	0.9136198339	0.9784135981	gen_168	0.2622920656	0.7377079344							0	0.3300613763
13	gen_56	103	detected	58.2	7.2e-18	1	True	0.8062200957	23	21	11	0.9130434783	0.4782608696	ref_000864	0.6875	0.3963963964	0.6213592233	0.5765765766	2.4e-30	0.6036036036	0.9510921176	gen_199	0.4500026667	0.5499973333	5.7e-18	58.5	1	39	11	49	0	0.2886288241
14	gen_35	155	detected	43.5	2.8e-13	1	True	0.1244019139	23	23	22	1	0.9565217391	ref_001033	0.81046	0.8000024516	0.9870967742	0.9935064935	1.63e-74	0.1999975484	0.9410965946	gen_118	0.717945	0.282055	2e-13	44	1	39	19	57	0	0.2622904422
15	gen_104	74	detected	35.6	8.3e-11	0.6923076923	False	0.003486817891	23	14	6	0.6086956522	0.2608695652	ref_000163	0.47222	0.2297286486	0.4864864865	0.5142857143	0.078	0.7702713514	0.9443459921	gen_94	0.3108105405	0.6891894595	5.6e-11	36.1	1	27	2	28	0	0.2426244412
16	gen_40	136	detected	46.8	2.6e-14	0.9743589744	True	0.2344497608	23	23	23	1	1	ref_001168	0.73913	0.728571	1.014705882	0.9857142857	1.81e-53	0.271429	0.9403047276	gen_68	0.5103468276	0.4896531724	1.9e-14	47.3	2	39	19	56	0	0.225491291
17	gen_189	77	detected	50.4	1.9e-15	0.8974358974	False	0.3050965655	23	20	10	0.8695652174	0.4347826087	ref_000826	0.34247	0.3246793506	0.9480519481	1.013888889	4.65e-05	0.6753206494	0.9532856651	gen_129	0.3896135065	0.6103864935	1.5e-15	50.8	5	39	16	50	0	0.1989438434
18	gen_13	89	detected	44.5	1.4e-13	0.9487179487	False	0.1576816535	23	20	7	0.8695652174	0.3043478261	ref_000219	0.31818	0.2359537079	0.7415730337	0.7764705882	0.59	0.7640462921	0.9341694917	gen_139	0.4725274725	0.5274725275	9.8e-14	45	2	38	24	60	0	0.1965154245
19	gen_48	347	not_detected	0	1000	0	False	0	23	17	12	0.7391304348	0.5217391304	ref_000775	0.27381	0.06628253602	0.242074928	0.9655172414	850	0.933717464	0.966239433	gen_59	0.3832862248	0.6167137752							0	0.1808731515
20	gen_129	73	detected	54.8	8.6e-17	0.9743589744	True	0.5693779904	23	21	8	0.9130434783	0.347826087	ref_000722	0.45161	0.3835591781	0.8493150685	0.8857142857	3.56e-08	0.6164408219	0.9536316445	gen_139	0.4285730769	0.5714269231	6.6e-17	55.1	2	39	22	59	0	0.1748462607
