gen_0	nat_63271297f6b3d9d8c243	63	99	87	17	83	5	71	2.05e-39	122
gen_0	nat_b94c6e496a778f2f3d21	59	99	94	15	83	10	78	9.68e-38	118
gen_0	nat_eb0256b251c333362463	59	99	89	17	83	5	71	5.70e-37	116
gen_0	nat_fd79a669594ad1a1ef23	58	99	120	17	83	39	105	9.73e-35	111
gen_0	nat_6a2caa9d644a05b1fa76	56	99	94	17	83	12	78	3.25e-34	109
gen_0	nat_538664c2c899a02c8b5c	56	99	87	17	83	5	71	5.85e-34	108
gen_0	nat_a70b192b6451eefede4e	55	99	118	17	80	36	99	3.71e-32	105
gen_0	nat_6ab76c5d4defe2738feb	57	99	112	5	81	15	94	3.77e-32	104
gen_0	nat_f34c21bef9d83be311ab	54	99	88	17	83	5	71	4.08e-32	103
gen_0	nat_a0d0faf59b37918c6cc5	57	99	101	5	81	3	82	5.19e-32	103
gen_0	nat_2730dab12de0ce3ce325	55	99	92	17	83	11	77	5.76e-32	103
gen_0	nat_829e22f860a4267265e7	56	99	113	4	83	8	93	6.63e-32	104
gen_0	nat_e11f8f5f145076b46b27	52	99	89	17	83	5	71	6.80e-32	103
gen_0	nat_f9fd8306d74bf30082b9	53	99	106	17	82	23	88	8.04e-32	103
gen_0	nat_ea1a3849db68d6f82cc1	53	99	84	17	83	5	71	9.25e-32	102
gen_0	nat_8e116b0b90509f56bbdd	54	99	107	8	80	19	91	7.14e-31	101
gen_0	nat_b0c47871cce8c048b264	53	99	129	17	80	45	108	1.24e-30	101
gen_0	nat_9bea7cdc12e000d2c3ea	54	99	130	1	81	20	99	1.21e-29	99.0
gen_0	nat_deedd3a1889aa71dd6b8	50	99	130	17	80	44	107	2.02e-29	98.6
gen_0	nat_db306f3f0b6bb11db8ba	55	99	98	8	82	2	78	2.90e-29	97.1
gen_0	nat_1f59c5fb58b4377ef820	49	99	130	17	80	44	107	3.64e-29	97.8
gen_0	nat_675665fb4942fba8ca99	53	99	102	1	83	1	86	7.78e-29	96.3
gen_0	nat_feb7854d969d6d554dbd	50	99	91	17	80	9	72	9.46e-29	95.5
gen_0	nat_590b75b8f97f712b8c55	49	99	95	18	83	14	79	4.58e-28	94.0
gen_0	nat_8b742b78955bcae0068d	51	99	94	8	83	3	78	8.68e-28	93.2
gen_0	nat_84154a5781d07c8500ca	49	99	94	18	83	13	78	1.14e-27	92.8
gen_0	nat_06821e5fc5c34d708729	49	99	88	18	83	10	75	1.58e-27	92.4
gen_0	nat_cfa34f1163e468c3993c	48	99	124	18	83	43	108	2.10e-27	93.2
